TimeUS,rpm1,rpm2,timestamp
1114376957.0,-1.0,-1.0,1668051286.695978
1114401486.0,-1.0,-1.0,1668051286.720507
1114426786.0,-1.0,-1.0,1668051286.745807
1114451759.0,-1.0,-1.0,1668051286.77078
1114476867.0,-1.0,-1.0,1668051286.795888
1114501725.0,-1.0,-1.0,1668051286.820746
1114526668.0,-1.0,-1.0,1668051286.845689
1114551602.0,-1.0,-1.0,1668051286.8706229
1114576830.0,-1.0,-1.0,1668051286.895851
1114601554.0,-1.0,-1.0,1668051286.920575
1114626728.0,-1.0,-1.0,1668051286.945749
1114651796.0,-1.0,-1.0,1668051286.970817
1114676832.0,-1.0,-1.0,1668051286.995853
1114701452.0,-1.0,-1.0,1668051287.020473
1114726749.0,-1.0,-1.0,1668051287.04577
1114751710.0,-1.0,-1.0,1668051287.070731
1114776992.0,-1.0,-1.0,1668051287.096013
1114801390.0,-1.0,-1.0,1668051287.120411
1114826784.0,-1.0,-1.0,1668051287.145805
1114851867.0,-1.0,-1.0,1668051287.170888
1114876845.0,-1.0,-1.0,1668051287.1958659
1114901477.0,-1.0,-1.0,1668051287.220498
1114926711.0,-1.0,-1.0,1668051287.245732
1114951592.0,-1.0,-1.0,1668051287.270613
1114976955.0,-1.0,-1.0,1668051287.295976
1115001759.0,-1.0,-1.0,1668051287.32078
1115026750.0,-1.0,-1.0,1668051287.345771
1115051737.0,-1.0,-1.0,1668051287.370758
1115076846.0,-1.0,-1.0,1668051287.3958669
1115101497.0,-1.0,-1.0,1668051287.420518
1115126806.0,-1.0,-1.0,1668051287.445827
1115151692.0,-1.0,-1.0,1668051287.470713
1115176929.0,-1.0,-1.0,1668051287.49595
1115201553.0,-1.0,-1.0,1668051287.520574
1115226782.0,-1.0,-1.0,1668051287.545803
1115251606.0,-1.0,-1.0,1668051287.570627
1115276842.0,-1.0,-1.0,1668051287.595863
1115301465.0,-1.0,-1.0,1668051287.620486
1115326643.0,-1.0,-1.0,1668051287.645664
1115351679.0,-1.0,-1.0,1668051287.6707
1115377074.0,-1.0,-1.0,1668051287.696095
1115401437.0,-1.0,-1.0,1668051287.720458
1115426776.0,-1.0,-1.0,1668051287.745797
1115451593.0,-1.0,-1.0,1668051287.770614
1115476862.0,-1.0,-1.0,1668051287.795883
1115501962.0,-1.0,-1.0,1668051287.820983
1115526667.0,-1.0,-1.0,1668051287.845688
1115551851.0,-1.0,-1.0,1668051287.870872
1115576858.0,-1.0,-1.0,1668051287.895879
1115601471.0,-1.0,-1.0,1668051287.920492
1115626702.0,-1.0,-1.0,1668051287.945723
1115651533.0,-1.0,-1.0,1668051287.9705539
1115676853.0,-1.0,-1.0,1668051287.995874
1115701456.0,-1.0,-1.0,1668051288.020477
1115726805.0,-1.0,-1.0,1668051288.045826
1115751626.0,-1.0,-1.0,1668051288.070647
1115776791.0,-1.0,-1.0,1668051288.095812
1115801511.0,-1.0,-1.0,1668051288.120532
1115826727.0,-1.0,-1.0,1668051288.145748
1115851599.0,-1.0,-1.0,1668051288.17062
1115876807.0,-1.0,-1.0,1668051288.195828
1115901577.0,-1.0,-1.0,1668051288.220598
1115926650.0,-1.0,-1.0,1668051288.245671
1115951683.0,-1.0,-1.0,1668051288.270704
1115976937.0,-1.0,-1.0,1668051288.295958
1116001871.0,-1.0,-1.0,1668051288.320892
1116026776.0,-1.0,-1.0,1668051288.345797
1116051689.0,-1.0,-1.0,1668051288.37071
1116076941.0,-1.0,-1.0,1668051288.395962
1116101384.0,-1.0,-1.0,1668051288.420405
1116126678.0,-1.0,-1.0,1668051288.445699
1116151621.0,-1.0,-1.0,1668051288.470642
1116176992.0,-1.0,-1.0,1668051288.496013
1116201555.0,-1.0,-1.0,1668051288.520576
1116226657.0,-1.0,-1.0,1668051288.545678
1116251725.0,-1.0,-1.0,1668051288.570746
1116276976.0,-1.0,-1.0,1668051288.595997
1116301394.0,-1.0,-1.0,1668051288.620415
1116326754.0,-1.0,-1.0,1668051288.645775
1116351538.0,-1.0,-1.0,1668051288.670559
1116376912.0,-1.0,-1.0,1668051288.695933
1116401653.0,-1.0,-1.0,1668051288.720674
1116426832.0,-1.0,-1.0,1668051288.745853
1116451626.0,-1.0,-1.0,1668051288.770647
1116476714.0,-1.0,-1.0,1668051288.795735
1116501767.0,-1.0,-1.0,1668051288.820788
1116526679.0,-1.0,-1.0,1668051288.8457
1116551821.0,-1.0,-1.0,1668051288.870842
1116576811.0,-1.0,-1.0,1668051288.895832
1116601418.0,-1.0,-1.0,1668051288.920439
1116626890.0,-1.0,-1.0,1668051288.945911
1116651726.0,-1.0,-1.0,1668051288.970747
1116676909.0,-1.0,-1.0,1668051288.99593
1116701518.0,-1.0,-1.0,1668051289.020539
1116726727.0,-1.0,-1.0,1668051289.045748
1116751637.0,-1.0,-1.0,1668051289.070658
1116776819.0,-1.0,-1.0,1668051289.09584
1116801402.0,-1.0,-1.0,1668051289.120423
1116826699.0,-1.0,-1.0,1668051289.14572
1116851739.0,-1.0,-1.0,1668051289.17076
1116876910.0,-1.0,-1.0,1668051289.195931
1116901615.0,-1.0,-1.0,1668051289.220636
1116926787.0,-1.0,-1.0,1668051289.245808
1116951811.0,-1.0,-1.0,1668051289.270832
1116977070.0,-1.0,-1.0,1668051289.296091
1117001720.0,-1.0,-1.0,1668051289.320741
1117026708.0,-1.0,-1.0,1668051289.3457289
1117051638.0,-1.0,-1.0,1668051289.3706589
1117077207.0,-1.0,-1.0,1668051289.396228
1117101594.0,-1.0,-1.0,1668051289.420615
1117126721.0,-1.0,-1.0,1668051289.445742
1117151650.0,-1.0,-1.0,1668051289.470671
1117176895.0,-1.0,-1.0,1668051289.495916
1117201557.0,-1.0,-1.0,1668051289.520578
1117226742.0,-1.0,-1.0,1668051289.545763
1117251535.0,-1.0,-1.0,1668051289.570556
1117276872.0,-1.0,-1.0,1668051289.595893
1117301663.0,-1.0,-1.0,1668051289.620684
1117326755.0,-1.0,-1.0,1668051289.645776
1117351666.0,-1.0,-1.0,1668051289.670687
1117376771.0,-1.0,-1.0,1668051289.695792
1117401518.0,-1.0,-1.0,1668051289.720539
1117426650.0,-1.0,-1.0,1668051289.745671
1117451602.0,-1.0,-1.0,1668051289.770623
1117476982.0,-1.0,-1.0,1668051289.796003
1117501770.0,-1.0,-1.0,1668051289.820791
1117526803.0,-1.0,-1.0,1668051289.845824
1117551652.0,-1.0,-1.0,1668051289.870673
1117576928.0,-1.0,-1.0,1668051289.895949
1117601650.0,-1.0,-1.0,1668051289.920671
1117626747.0,-1.0,-1.0,1668051289.9457679
1117651625.0,-1.0,-1.0,1668051289.970646
1117676962.0,-1.0,-1.0,1668051289.995983
1117701363.0,-1.0,-1.0,1668051290.020384
1117726741.0,-1.0,-1.0,1668051290.045762
1117751713.0,-1.0,-1.0,1668051290.070734
1117776978.0,-1.0,-1.0,1668051290.095999
1117801477.0,-1.0,-1.0,1668051290.120498
1117826702.0,-1.0,-1.0,1668051290.145723
1117851720.0,-1.0,-1.0,1668051290.170741
1117876947.0,-1.0,-1.0,1668051290.195968
1117901397.0,-1.0,-1.0,1668051290.220418
1117926657.0,-1.0,-1.0,1668051290.245678
1117951578.0,-1.0,-1.0,1668051290.270599
1117977066.0,-1.0,-1.0,1668051290.296087
1118001878.0,-1.0,-1.0,1668051290.320899
1118026621.0,-1.0,-1.0,1668051290.345642
1118051708.0,-1.0,-1.0,1668051290.370729
1118076790.0,-1.0,-1.0,1668051290.395811
1118101457.0,-1.0,-1.0,1668051290.420478
1118126789.0,-1.0,-1.0,1668051290.44581
1118151741.0,-1.0,-1.0,1668051290.470762
1118176990.0,-1.0,-1.0,1668051290.496011
1118201498.0,-1.0,-1.0,1668051290.520519
1118226708.0,-1.0,-1.0,1668051290.545729
1118251703.0,-1.0,-1.0,1668051290.570724
1118276910.0,-1.0,-1.0,1668051290.595931
1118301469.0,-1.0,-1.0,1668051290.62049
1118326682.0,-1.0,-1.0,1668051290.645703
1118351565.0,-1.0,-1.0,1668051290.6705859
1118376846.0,-1.0,-1.0,1668051290.695867
1118401377.0,-1.0,-1.0,1668051290.720398
1118426820.0,-1.0,-1.0,1668051290.745841
1118451607.0,-1.0,-1.0,1668051290.770628
1118476740.0,-1.0,-1.0,1668051290.7957609
1118501746.0,-1.0,-1.0,1668051290.820767
1118526898.0,-1.0,-1.0,1668051290.845919
1118551623.0,-1.0,-1.0,1668051290.870644
1118576932.0,-1.0,-1.0,1668051290.895953
1118601425.0,-1.0,-1.0,1668051290.920446
1118626791.0,-1.0,-1.0,1668051290.945812
1118651607.0,-1.0,-1.0,1668051290.970628
1118676888.0,-1.0,-1.0,1668051290.995909
1118701552.0,-1.0,-1.0,1668051291.020573
