TimeUS,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos,timestamp
1141474585.0,0.0,0.0,0.0,0.0,5.8,0.6,0.12,5.7,0.13,0.0015574278077110648,0.0018342414405196905,0.006061278749257326,1668051313.793606
1141574437.0,0.0,0.0,0.0,0.0,5.79,0.6,0.12,5.7,0.13,0.001477210083976388,0.0058688027784228325,0.01905544102191925,1668051313.893458
1141674411.0,0.0,0.0,0.0,0.0,5.78,0.6,0.11,5.7,0.13,0.0015045118052512407,0.0018984517082571983,0.01367589645087719,1668051313.993432
1141774454.0,0.0,0.0,0.0,0.0,5.78,0.6,0.11,5.7,0.13,0.0014782133512198925,0.00581668596714735,0.017459755763411522,1668051314.093475
1141874465.0,0.0,0.0,0.0,0.0,5.7700000000000005,0.6,0.1,5.7,0.13,0.001525021274574101,0.0009437749395146966,0.009348570369184017,1668051314.193486
1141974415.0,0.0,0.0,0.0,0.0,5.7700000000000005,0.59,0.07,5.72,0.13,0.001597049180418253,0.0039752693846821785,0.015283074229955673,1668051314.293436
1142074639.0,0.0,0.0,0.0,0.0,5.76,0.59,0.07,5.72,0.13,0.0016158102080225945,0.0022498234175145626,0.0084235779941082,1668051314.39366
1142174427.0,0.0,0.0,0.0,0.0,5.74,0.59,0.12,5.67,0.13,0.0014228255022317171,0.005773690529167652,0.020513761788606644,1668051314.493448
1142274362.0,0.0,0.0,0.0,0.0,5.73,0.58,0.17,5.65,0.13,0.0013783830218017101,0.002474264707416296,0.012541665695607662,1668051314.593383
1142374322.0,0.0,0.0,0.0,0.0,5.72,0.5700000000000001,0.17,5.65,0.13,0.0013632271438837051,0.009064337238669395,0.0232321098446846,1668051314.693343
1142474667.0,0.0,0.0,0.0,0.0,5.72,0.5700000000000001,0.17,5.65,0.13,0.0013784042093902826,0.004710514564067125,0.012809841893613338,1668051314.793688
1142574542.0,0.0,0.0,0.0,0.0,5.72,0.5700000000000001,0.17,5.65,0.13,0.0013562941458076239,0.0052422210574150085,0.017457883805036545,1668051314.893563
1142674638.0,0.0,0.0,0.0,0.0,5.71,0.5700000000000001,0.17,5.65,0.13,0.0014437672216445208,0.0043607670813798904,0.00793462060391903,1668051314.993659
1142774532.0,0.0,0.0,0.0,0.0,5.72,0.56,0.13,5.65,0.13,0.0014090687036514282,0.0019003978231921792,0.011589349247515202,1668051315.093553
1142874416.0,0.0,0.0,0.0,0.0,5.71,0.56,0.06,5.67,0.13,0.001540471101179719,0.003635967383161187,0.002444647252559662,1668051315.193437
1142974627.0,0.0,0.0,0.0,0.0,5.7,0.56,0.06,5.67,0.13,0.0014646222116425633,0.005099532660096884,0.0167367085814476,1668051315.293648
1143074419.0,0.0,0.0,0.0,0.0,5.7,0.56,0.05,5.67,0.13,0.001516614924184978,0.0025972859002649784,0.0068374574184417725,1668051315.39344
1143174547.0,0.0,0.0,0.0,0.0,5.72,0.56,0.05,5.67,0.13,0.0014010050799697638,0.008913086727261543,0.021738126873970032,1668051315.493568
1143274488.0,0.0,0.0,0.0,0.0,5.71,0.55,0.09,5.65,0.13,0.0013897924218326807,0.0027147913351655006,0.007325034588575363,1668051315.593509
1143374413.0,0.0,0.0,0.0,0.0,5.71,0.55,0.09,5.65,0.13,0.0012851555366069078,0.005280269309878349,0.016731897369027138,1668051315.693434
1143474436.0,0.0,0.0,0.0,0.0,5.71,0.55,0.08,5.65,0.13,0.0013036067830398679,0.0024892010260373354,0.0034810849465429783,1668051315.793457
1143574471.0,0.0,0.0,0.0,0.0,5.72,0.55,0.08,5.65,0.13,0.0012699066428467631,0.004466941114515066,0.015162504278123379,1668051315.893492
1143674435.0,0.0,0.0,0.0,0.0,5.71,0.55,0.08,5.65,0.13,0.0013587387511506677,0.0031982148066163063,0.0007145000854507089,1668051315.993456
1143774408.0,0.0,0.0,0.0,0.0,5.71,0.54,0.11,5.62,0.13,0.0013995387125760317,0.007178554777055979,0.01770114153623581,1668051316.093429
1143874613.0,0.0,0.0,0.0,0.0,5.7,0.54,0.11,5.62,0.13,0.0014581887517124414,0.00266986433416605,0.003573005087673664,1668051316.193634
1143974435.0,0.0,0.0,0.0,0.0,5.69,0.54,0.11,5.62,0.13,0.001423907931894064,0.007931223139166832,0.018791913986206055,1668051316.293456
1144074588.0,0.0,0.0,0.0,0.0,5.69,0.53,0.11,5.62,0.13,0.001448905561119318,0.004614321049302816,0.007015415001660585,1668051316.393609
1144174480.0,0.0,0.0,0.0,0.0,5.67,0.53,0.04,5.67,0.12,0.001391442259773612,0.006634466350078583,0.021929418668150902,1668051316.493501
1144274545.0,0.0,0.0,0.0,0.0,5.67,0.53,0.04,5.67,0.12,0.0014418469509109855,0.005523099098354578,0.01266359630972147,1668051316.593566
1144374444.0,0.0,0.0,0.0,0.0,5.67,0.53,-0.02,5.72,0.12,0.0014010460581630468,0.005118596833199263,0.017444709315896034,1668051316.693465
1144474655.0,0.0,0.0,0.0,0.0,5.66,0.53,-0.03,5.72,0.12,0.0015048700151965022,0.0035327039659023285,0.007712960243225098,1668051316.793676
1144574456.0,0.0,0.0,0.0,0.0,5.67,0.53,-0.03,5.72,0.12,0.0014518824173137546,0.004950580652803183,0.014959284104406834,1668051316.893477
1144674511.0,0.0,0.0,0.0,0.0,5.67,0.53,0.0,5.7,0.12,0.0015769513556733727,0.004544861614704132,0.0064659398049116135,1668051316.993532
1144774779.0,0.0,0.0,0.0,0.0,5.66,0.53,0.0,5.7,0.12,0.0015044186729937792,0.004855934530496597,0.01578754372894764,1668051317.0938
1144874388.0,0.0,0.0,0.0,0.0,5.66,0.53,0.02,5.67,0.12,0.0015649587148800492,0.005308545660227537,0.009477195329964161,1668051317.193409
1144974438.0,0.0,0.0,0.0,0.0,5.66,0.53,0.02,5.67,0.12,0.0014690200332552195,0.003205526154488325,0.012993669137358665,1668051317.293459
1145074435.0,0.0,0.0,0.0,0.0,5.66,0.53,-0.01,5.7,0.12,0.0014721365878358483,0.0057664113119244576,0.010011294856667519,1668051317.393456
1145174429.0,0.0,0.0,0.0,0.0,5.65,0.53,0.03,5.65,0.12,0.0012987934751436114,0.004476888570934534,0.013507596217095852,1668051317.49345
1145274364.0,0.0,0.0,0.0,0.0,5.65,0.53,0.06,5.62,0.11,0.0013189614983275533,0.006514596752822399,0.01109801884740591,1668051317.593385
1145374461.0,0.0,0.0,0.0,0.0,5.65,0.53,0.06,5.62,0.11,0.0011746626114472747,0.0046002925373613834,0.015185155905783176,1668051317.693482
1145474762.0,0.0,0.0,0.0,0.0,5.64,0.53,0.06,5.6000000000000005,0.11,0.0012004529125988483,0.00612964853644371,0.012450425885617733,1668051317.793783
1145574548.0,0.0,0.0,0.0,0.0,5.63,0.52,0.08,5.57,0.11,0.0010617091320455074,0.007764762733131647,0.015685545280575752,1668051317.893569
1145674473.0,0.0,0.0,0.0,0.0,5.63,0.52,0.08,5.57,0.11,0.0011519599938765168,0.009745127521455288,0.017342880368232727,1668051317.993494
1145774416.0,0.0,0.0,0.0,0.0,5.61,0.52,0.08,5.55,0.11,0.0010574744082987309,0.008128567598760128,0.022730650380253792,1668051318.093437
1145874437.0,0.0,0.0,0.0,0.0,5.6000000000000005,0.51,0.1,5.5200000000000005,0.11,0.0011812380980700254,0.010785582475364208,0.02309398725628853,1668051318.193458
1145974430.0,0.0,0.0,0.0,0.0,5.6000000000000005,0.51,0.07,5.55,0.11,0.000987864681519568,0.006644304841756821,0.015450386330485344,1668051318.293451
1146074572.0,0.0,0.0,0.0,0.0,5.59,0.51,0.07,5.55,0.11,0.0010850793914869428,0.0037652086466550827,0.013495778664946556,1668051318.393593
1146174520.0,0.0,0.0,0.0,0.0,5.61,0.51,0.08,5.55,0.12,0.0009840362472459674,0.009081266820430756,0.016904113814234734,1668051318.493541
1146274637.0,0.0,0.0,0.0,0.0,5.6000000000000005,0.51,0.08,5.55,0.12,0.0009991094702854753,0.010630570352077484,0.022084372118115425,1668051318.593658
1146374323.0,0.0,0.0,0.0,0.0,5.59,0.51,0.07,5.55,0.12,0.0010144764091819525,0.0017188191413879395,0.0018504163017496467,1668051318.6933439
