TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,timestamp
369183637.0,3.0,357759500.0,2235.0,18.0,0.65,14.083733899999999,100.4199531,10.28,3.5920002460479736,205.298828125,-0.04000000283122063,0.0,1.0,1668050541.502658
369383802.0,3.0,357759700.0,2235.0,18.0,0.65,14.0837279,100.4199498,10.31,3.9650001525878906,208.61244201660156,-0.0860000029206276,0.0,1.0,1668050541.702823
369583687.0,3.0,357759900.0,2235.0,18.0,0.65,14.0837215,100.41994559999999,10.34,4.521000385284424,212.81155395507812,-0.05100000277161598,0.0,1.0,1668050541.902708
369803888.0,3.0,357760100.0,2235.0,18.0,0.65,14.0837148,100.4199405,10.38,4.732000350952148,215.50540161132812,-0.04000000283122063,0.0,1.0,1668050542.122909
369983635.0,3.0,357760300.0,2235.0,18.0,0.65,14.083707899999999,100.4199348,10.4,5.052000045776367,219.3463592529297,-0.16700001060962677,0.0,1.0,1668050542.302656
370183776.0,3.0,357760500.0,2235.0,18.0,0.65,14.083701099999999,100.4199283,10.43,5.278000354766846,222.64215087890625,-0.1770000010728836,0.0,1.0,1668050542.502797
370383846.0,3.0,357760700.0,2235.0,18.0,0.65,14.0836945,100.4199211,10.48,5.455000400543213,226.1480712890625,-0.1720000058412552,0.0,1.0,1668050542.702867
370583721.0,3.0,357760900.0,2235.0,18.0,0.65,14.0836881,100.41991329999999,10.55,5.582000255584717,229.05776977539062,-0.33500000834465027,0.0,1.0,1668050542.902742
370803601.0,3.0,357761100.0,2235.0,18.0,0.65,14.083682,100.419905,10.64,5.696000099182129,231.92581176757812,-0.42500001192092896,0.0,1.0,1668050543.122622
370983704.0,3.0,357761300.0,2235.0,18.0,0.65,14.0836762,100.4198964,10.73,5.690000057220459,235.2314910888672,-0.45100003480911255,0.0,1.0,1668050543.302725
371183649.0,3.0,357761500.0,2235.0,18.0,0.65,14.0836709,100.4198873,10.83,5.7900004386901855,238.45689392089844,-0.4660000205039978,0.0,1.0,1668050543.50267
371383671.0,3.0,357761700.0,2235.0,18.0,0.65,14.0836659,100.419878,10.94,5.703000068664551,240.59461975097656,-0.4300000071525574,0.0,1.0,1668050543.702692
371583673.0,3.0,357761900.0,2235.0,18.0,0.65,14.0836616,100.4198686,11.03,5.586000442504883,244.1623992919922,-0.3630000054836273,0.0,1.0,1668050543.902694
371803703.0,3.0,357762100.0,2235.0,19.0,0.61,14.083658,100.4198593,11.13,5.248000144958496,247.528076171875,-0.42900002002716064,0.0,1.0,1668050544.122724
371983763.0,3.0,357762300.0,2235.0,19.0,0.61,14.0836553,100.4198504,11.23,4.934000015258789,251.5251922607422,-0.4580000340938568,0.0,1.0,1668050544.302784
372183765.0,3.0,357762500.0,2235.0,19.0,0.61,14.0836533,100.4198419,11.3,4.583000183105469,254.65823364257812,-0.4570000171661377,0.0,1.0,1668050544.502786
372383719.0,3.0,357762700.0,2235.0,19.0,0.61,14.0836522,100.419834,11.370000000000001,4.170000076293945,259.8040466308594,-0.2600000202655792,0.0,1.0,1668050544.70274
372583734.0,3.0,357762900.0,2235.0,19.0,0.61,14.0836521,100.4198266,11.39,3.813000202178955,265.82073974609375,-0.17600001394748688,0.0,1.0,1668050544.902755
372803623.0,3.0,357763100.0,2235.0,19.0,0.61,14.083652899999999,100.4198199,11.39,3.517000198364258,273.01300048828125,0.010000000707805157,0.0,1.0,1668050545.122644
372983645.0,3.0,357763300.0,2235.0,19.0,0.61,14.0836546,100.4198139,11.38,3.306000232696533,280.28997802734375,0.08300000429153442,0.0,1.0,1668050545.302666
373183635.0,3.0,357763500.0,2235.0,19.0,0.61,14.0836569,100.4198086,11.35,3.05400013923645,289.3319091796875,0.19500000774860382,0.0,1.0,1668050545.502656
373403750.0,3.0,357763700.0,2235.0,19.0,0.61,14.0836601,100.4198042,11.32,2.9630000591278076,299.5938720703125,0.2980000078678131,0.0,1.0,1668050545.722771
373583834.0,3.0,357763900.0,2235.0,19.0,0.61,14.0836641,100.4198007,11.26,2.9620001316070557,313.3178405761719,0.33000001311302185,0.0,1.0,1668050545.902855
373803715.0,3.0,357764100.0,2235.0,19.0,0.61,14.0836689,100.4197981,11.16,3.0930001735687256,325.99951171875,0.4480000138282776,0.0,1.0,1668050546.122736
373983713.0,3.0,357764300.0,2235.0,19.0,0.61,14.0836744,100.41979649999999,11.08,3.2830002307891846,339.89190673828125,0.4790000319480896,0.0,1.0,1668050546.302734
374183695.0,3.0,357764500.0,2235.0,19.0,0.61,14.0836806,100.4197962,11.0,3.626000165939331,352.14471435546875,0.534000039100647,0.0,1.0,1668050546.502716
374383786.0,3.0,357764700.0,2235.0,19.0,0.61,14.0836875,100.41979699999999,10.91,4.110000133514404,2.0622098445892334,0.5090000033378601,0.0,1.0,1668050546.702807
374583669.0,3.0,357764900.0,2235.0,19.0,0.61,14.083694999999999,100.4197987,10.8,4.320000171661377,9.134550094604492,0.7010000348091125,0.0,1.0,1668050546.90269
374803627.0,3.0,357765100.0,2235.0,19.0,0.61,14.0837028,100.4198012,10.66,4.755000114440918,14.31525993347168,0.7380000352859497,0.0,1.0,1668050547.122648
374983803.0,3.0,357765300.0,2235.0,19.0,0.61,14.0837112,100.4198045,10.51,5.105000019073486,19.796850204467773,0.8020000457763672,0.0,1.0,1668050547.302824
375183591.0,3.0,357765500.0,2235.0,19.0,0.61,14.08372,100.41980869999999,10.32,5.585000038146973,23.705188751220703,1.027000069618225,0.0,1.0,1668050547.5026119
375403659.0,3.0,357765700.0,2235.0,19.0,0.61,14.0837294,100.4198136,10.11,5.997000217437744,26.2137393951416,1.1980000734329224,0.0,1.0,1668050547.72268
375583766.0,3.0,357765900.0,2235.0,19.0,0.61,14.0837392,100.4198193,9.86,6.408000469207764,28.88620948791504,1.321000099182129,0.0,1.0,1668050547.902787
375803707.0,3.0,357766100.0,2235.0,19.0,0.61,14.0837493,100.4198256,9.540000000000001,6.554000377655029,31.442188262939453,1.592000126838684,0.0,1.0,1668050548.1227279
375983710.0,3.0,357766300.0,2235.0,19.0,0.61,14.0837595,100.41983239999999,9.25,6.7870001792907715,33.07280731201172,1.5560001134872437,0.0,1.0,1668050548.302731
376183760.0,3.0,357766500.0,2235.0,19.0,0.61,14.083769799999999,100.41983959999999,8.93,6.9110002517700195,34.00457000732422,1.5720000267028809,0.0,1.0,1668050548.502781
376383710.0,3.0,357766700.0,2235.0,19.0,0.61,14.0837802,100.4198469,8.63,6.913000106811523,33.97154998779297,1.5420000553131104,0.0,1.0,1668050548.702731
376583669.0,3.0,357766900.0,2235.0,19.0,0.61,14.0837908,100.41985419999999,8.35,7.0370001792907715,33.86111831665039,1.1430000066757202,0.0,1.0,1668050548.90269
376803702.0,3.0,357767100.0,2235.0,19.0,0.61,14.0838013,100.4198613,8.18,6.88800048828125,33.22309875488281,0.6110000014305115,0.0,1.0,1668050549.122723
376983705.0,3.0,357767300.0,2235.0,19.0,0.61,14.0838117,100.41986849999999,8.14,6.87600040435791,34.63890075683594,-0.027000000700354576,0.0,1.0,1668050549.302726
377183741.0,3.0,357767500.0,2235.0,19.0,0.61,14.083821599999998,100.4198761,8.19,6.76800012588501,36.556217193603516,-0.5720000267028809,0.0,1.0,1668050549.502762
377403611.0,3.0,357767700.0,2235.0,19.0,0.61,14.083830899999999,100.419884,8.32,6.516000270843506,39.66843795776367,-0.9470000267028809,0.0,1.0,1668050549.722632
377603692.0,3.0,357767900.0,2235.0,19.0,0.61,14.0838396,100.41989249999999,8.55,6.694000244140625,43.3460578918457,-1.25,0.0,1.0,1668050549.922713
377803744.0,3.0,357768100.0,2235.0,19.0,0.61,14.083848,100.4199014,8.86,6.6710004806518555,45.4647102355957,-1.434000015258789,0.0,1.0,1668050550.122765
377983821.0,3.0,357768300.0,2235.0,19.0,0.61,14.0838562,100.41991039999999,9.120000000000001,6.633000373840332,46.21229934692383,-1.3290001153945923,0.0,1.0,1668050550.302842
378183643.0,3.0,357768500.0,2235.0,19.0,0.61,14.0838646,100.4199194,9.34,6.716000556945801,46.46846008300781,-1.0740000009536743,0.0,1.0,1668050550.502664
378383709.0,3.0,357768700.0,2235.0,19.0,0.61,14.0838729,100.41992839999999,9.55,6.705000400543213,46.288299560546875,-0.9360000491142273,0.0,1.0,1668050550.70273
378583667.0,3.0,357768900.0,2235.0,19.0,0.61,14.0838814,100.4199373,9.75,6.686000347137451,45.627098083496094,-0.8460000157356262,0.0,1.0,1668050550.902688
378803655.0,3.0,357769100.0,2235.0,19.0,0.61,14.08389,100.41994609999999,9.950000000000001,6.677000522613525,45.227046966552734,-0.8970000147819519,0.0,1.0,1668050551.122676
378983790.0,3.0,357769300.0,2235.0,19.0,0.61,14.0838986,100.4199549,10.13,6.7870001792907715,45.01316833496094,-0.8890000581741333,0.0,1.0,1668050551.302811
379183839.0,3.0,357769500.0,2235.0,19.0,0.61,14.083907,100.4199637,10.35,6.553000450134277,45.863929748535156,-0.9120000600814819,0.0,1.0,1668050551.50286
379383672.0,3.0,357769700.0,2235.0,19.0,0.61,14.083915099999999,100.4199726,10.55,6.62600040435791,46.313087463378906,-0.9140000343322754,0.0,1.0,1668050551.702693
379463782.0,3.0,357769800.0,2235.0,19.0,0.61,14.0839191,100.4199771,10.68,6.522000312805176,47.47366714477539,-1.0290000438690186,0.0,1.0,1668050551.782803
379583631.0,3.0,357769900.0,2235.0,19.0,0.61,14.083922999999999,100.4199816,10.81,6.51300048828125,47.64522933959961,-0.9830000400543213,0.0,1.0,1668050551.902652
379683657.0,3.0,357770000.0,2235.0,19.0,0.61,14.0839269,100.41998609999999,10.9,6.51900053024292,47.91156768798828,-0.9240000247955322,0.0,1.0,1668050552.002678
379883881.0,3.0,357770200.0,2235.0,19.0,0.61,14.0839346,100.419995,11.11,6.367000102996826,48.36051940917969,-1.1040000915527344,0.0,1.0,1668050552.202902
380083693.0,3.0,357770400.0,2235.0,19.0,0.61,14.083942299999999,100.42000399999999,11.38,6.5400004386901855,48.83095932006836,-1.412000060081482,0.0,1.0,1668050552.402714
380283736.0,3.0,357770600.0,2235.0,19.0,0.61,14.08395,100.4200135,11.66,6.706000328063965,49.992557525634766,-1.2670000791549683,0.0,1.0,1668050552.602757
380483740.0,3.0,357770800.0,2235.0,19.0,0.61,14.0839577,100.4200235,11.9,7.054000377655029,51.433937072753906,-1.068000078201294,0.0,1.0,1668050552.802761
380683735.0,3.0,357771000.0,2235.0,19.0,0.61,14.083965599999999,100.42003419999999,12.11,7.442000389099121,53.08837890625,-1.0980000495910645,0.0,1.0,1668050553.0027559
380883569.0,3.0,357771200.0,2235.0,19.0,0.61,14.0839736,100.42004569999999,12.34,7.7860002517700195,54.19620895385742,-1.1680001020431519,0.0,1.0,1668050553.20259
381083748.0,3.0,357771400.0,2235.0,19.0,0.61,14.0839819,100.42005739999999,12.61,7.841000556945801,53.68280792236328,-1.5890001058578491,0.0,1.0,1668050553.402769
381283779.0,3.0,357771600.0,2235.0,19.0,0.61,14.0839904,100.42006909999999,12.950000000000001,7.927000522613525,53.3413200378418,-1.78000009059906,0.0,1.0,1668050553.6028
381483625.0,3.0,357771800.0,2235.0,19.0,0.61,14.083998999999999,100.4200808,13.31,7.854000568389893,52.55546951293945,-2.0410001277923584,0.0,1.0,1668050553.802646
381683759.0,3.0,357772000.0,2235.0,19.0,0.61,14.084007699999999,100.4200922,13.73,7.843000411987305,51.79867935180664,-2.186000108718872,0.0,1.0,1668050554.00278
381883746.0,3.0,357772200.0,2235.0,19.0,0.61,14.084016499999999,100.4201034,14.15,7.735000133514404,50.72821807861328,-2.2080001831054688,0.0,1.0,1668050554.202767
382083768.0,3.0,357772400.0,2235.0,19.0,0.61,14.084025299999999,100.4201145,14.61,7.659000396728516,50.956329345703125,-2.384000062942505,0.0,1.0,1668050554.4027889
382283632.0,3.0,357772600.0,2235.0,19.0,0.61,14.084033999999999,100.42012559999999,15.11,7.782000541687012,51.5642204284668,-2.5210001468658447,0.0,1.0,1668050554.602653
382383641.0,3.0,357772700.0,2235.0,19.0,0.61,14.0840383,100.4201312,15.35,7.690000534057617,51.613609313964844,-2.4080002307891846,0.0,1.0,1668050554.702662
382583707.0,3.0,357772900.0,2235.0,19.0,0.61,14.0840468,100.42014259999999,15.790000000000001,7.898000240325928,53.685359954833984,-2.1510000228881836,0.0,1.0,1668050554.902728
382803631.0,3.0,357773100.0,2235.0,19.0,0.61,14.084055399999999,100.420155,16.240000000000002,8.464000701904297,55.92720031738281,-2.4100000858306885,0.0,1.0,1668050555.122652
382983683.0,3.0,357773300.0,2235.0,19.0,0.61,14.084064,100.42016849999999,16.67,9.064000129699707,57.89788818359375,-2.013000011444092,0.0,1.0,1668050555.302704
383183601.0,3.0,357773500.0,2235.0,19.0,0.61,14.0840727,100.4201834,17.080000000000002,9.702000617980957,59.90650939941406,-1.9280000925064087,0.0,1.0,1668050555.502622
383383895.0,3.0,357773700.0,2235.0,19.0,0.61,14.0840816,100.4201995,17.42,10.300000190734863,61.645816802978516,-1.8510000705718994,0.0,1.0,1668050555.702916
383583684.0,3.0,357773900.0,2235.0,19.0,0.61,14.0840904,100.42021659999999,17.75,10.701000213623047,62.839698791503906,-1.6490000486373901,0.0,1.0,1668050555.902705
383803732.0,3.0,357774100.0,2235.0,19.0,0.61,14.0840993,100.4202347,18.09,11.201000213623047,63.123409271240234,-1.8610000610351562,0.0,1.0,1668050556.122753
383983733.0,3.0,357774300.0,2235.0,19.0,0.61,14.0841084,100.42025339999999,18.47,11.416000366210938,64.3186264038086,-2.0,0.0,1.0,1668050556.302754
384183712.0,3.0,357774500.0,2235.0,19.0,0.61,14.084117299999999,100.42027259999999,18.85,11.643000602722168,64.6828384399414,-1.977000117301941,0.0,1.0,1668050556.502733
384383659.0,3.0,357774700.0,2235.0,19.0,0.61,14.084126399999999,100.4202923,19.23,11.938000679016113,65.04045104980469,-1.9930001497268677,0.0,1.0,1668050556.7026799
384583621.0,3.0,357774900.0,2235.0,19.0,0.61,14.0841356,100.4203124,19.59,12.066000938415527,64.87005615234375,-1.9610000848770142,0.0,1.0,1668050556.902642
384803593.0,3.0,357775100.0,2235.0,19.0,0.61,14.084144799999999,100.4203326,20.01,12.068000793457031,65.08097839355469,-2.2269999980926514,0.0,1.0,1668050557.122614
384963759.0,3.0,357775300.0,2235.0,19.0,0.61,14.084153899999999,100.4203527,20.46,11.81100082397461,64.98001098632812,-2.2790000438690186,0.0,1.0,1668050557.28278
385083524.0,3.0,357775400.0,2235.0,19.0,0.61,14.0841584,100.42036259999999,20.69,11.8100004196167,64.62458801269531,-2.2870001792907715,0.0,1.0,1668050557.402545
385183532.0,3.0,357775500.0,2235.0,19.0,0.61,14.084162899999999,100.42037239999999,20.92,11.623000144958496,64.91156005859375,-2.1560001373291016,0.0,1.0,1668050557.502553
385383630.0,3.0,357775700.0,2235.0,19.0,0.61,14.0841718,100.4203916,21.330000000000002,11.3100004196167,64.4633560180664,-1.9620001316070557,0.0,1.0,1668050557.702651
385583754.0,3.0,357775900.0,2235.0,19.0,0.61,14.0841806,100.4204103,21.68,11.180000305175781,64.02816009521484,-1.7530001401901245,0.0,1.0,1668050557.902775
385803686.0,3.0,357776100.0,2235.0,20.0,0.56,14.0841894,100.4204287,22.01,10.988000869750977,63.57758712768555,-1.474000096321106,0.0,1.0,1668050558.122707
385983650.0,3.0,357776300.0,2235.0,20.0,0.56,14.084198299999999,100.4204467,22.27,10.737000465393066,63.02342987060547,-1.4260001182556152,0.0,1.0,1668050558.302671
386183802.0,3.0,357776500.0,2235.0,20.0,0.56,14.0842069,100.42046429999999,22.56,10.581000328063965,63.18836975097656,-1.4190000295639038,0.0,1.0,1668050558.5028229
386383610.0,3.0,357776700.0,2235.0,20.0,0.56,14.084215499999999,100.4204816,22.830000000000002,10.366000175476074,62.88502883911133,-1.3730000257492065,0.0,1.0,1668050558.702631
386583770.0,3.0,357776900.0,2235.0,20.0,0.56,14.084223999999999,100.4204986,23.14,10.20300006866455,62.848697662353516,-1.4790000915527344,0.0,1.0,1668050558.902791
386803739.0,3.0,357777100.0,2235.0,20.0,0.56,14.0842323,100.4205152,23.43,9.984000205993652,62.48460006713867,-1.4410001039505005,0.0,1.0,1668050559.12276
386983748.0,3.0,357777300.0,2235.0,20.0,0.56,14.0842406,100.4205315,23.69,9.951000213623047,62.33055877685547,-1.2580000162124634,0.0,1.0,1668050559.302769
387183622.0,3.0,357777500.0,2235.0,20.0,0.56,14.0842488,100.42054759999999,23.96,9.682000160217285,62.11438751220703,-1.1790000200271606,0.0,1.0,1668050559.5026429
387383617.0,3.0,357777700.0,2235.0,20.0,0.56,14.084257099999999,100.4205635,24.22,9.701000213623047,61.30495834350586,-1.1150000095367432,0.0,1.0,1668050559.702638
387583715.0,3.0,357777900.0,2235.0,20.0,0.56,14.0842656,100.4205791,24.42,9.59000015258789,60.39021682739258,-0.9180000424385071,0.0,1.0,1668050559.902736
387783717.0,3.0,357778100.0,2235.0,20.0,0.56,14.0842742,100.4205944,24.59,9.432000160217285,59.68585968017578,-0.8330000638961792,0.0,1.0,1668050560.102738
387983603.0,3.0,357778300.0,2235.0,20.0,0.56,14.084282799999999,100.4206093,24.75,9.256999969482422,59.409278869628906,-0.7780000567436218,0.0,1.0,1668050560.302624
388183733.0,3.0,357778500.0,2235.0,20.0,0.56,14.084291299999999,100.4206238,24.92,9.004000663757324,58.80344009399414,-0.6860000491142273,0.0,1.0,1668050560.502754
388383736.0,3.0,357778700.0,2235.0,20.0,0.56,14.084299999999999,100.420638,25.04,8.991000175476074,57.056278228759766,-0.550000011920929,0.0,1.0,1668050560.702757
388583676.0,3.0,357778900.0,2235.0,20.0,0.56,14.0843087,100.4206518,25.12,8.784000396728516,56.9697380065918,-0.23600001633167267,0.0,1.0,1668050560.902697
388803675.0,3.0,357779100.0,2235.0,20.0,0.56,14.084317299999999,100.4206651,25.19,8.506000518798828,55.99274826049805,-0.20000000298023224,0.0,1.0,1668050561.122696
388983553.0,3.0,357779300.0,2235.0,20.0,0.56,14.0843259,100.4206779,25.21,8.391000747680664,55.25893783569336,0.08700000494718552,0.0,1.0,1668050561.302574
389183586.0,3.0,357779500.0,2235.0,20.0,0.56,14.084334499999999,100.42069049999999,25.18,8.285000801086426,54.36935806274414,0.25699999928474426,0.0,1.0,1668050561.5026069
389383626.0,3.0,357779700.0,2235.0,20.0,0.56,14.0843432,100.42070269999999,25.150000000000002,8.072000503540039,52.82939910888672,0.30900001525878906,0.0,1.0,1668050561.702647
389583668.0,3.0,357779900.0,2235.0,20.0,0.56,14.084351999999999,100.4207145,25.09,7.961000442504883,52.19377899169922,0.4390000104904175,0.0,1.0,1668050561.902689
389803722.0,3.0,357780100.0,2235.0,20.0,0.56,14.0843609,100.42072569999999,25.03,7.628000259399414,50.904109954833984,0.42900002002716064,0.0,1.0,1668050562.122743
389983757.0,3.0,357780300.0,2235.0,20.0,0.56,14.0843698,100.4207363,24.98,7.488000392913818,49.49559020996094,0.35100001096725464,0.0,1.0,1668050562.302778
390183677.0,3.0,357780500.0,2235.0,20.0,0.56,14.0843787,100.42074649999999,24.93,7.304000377655029,48.360939025878906,0.23800000548362732,0.0,1.0,1668050562.502698
390383754.0,3.0,357780700.0,2235.0,20.0,0.56,14.084387699999999,100.4207562,24.88,7.160000324249268,46.64413070678711,0.18800000846385956,0.0,1.0,1668050562.702775
390583677.0,3.0,357780900.0,2235.0,20.0,0.56,14.0843967,100.4207654,24.86,6.965000152587891,45.08755874633789,0.07300000637769699,0.0,1.0,1668050562.902698
390683779.0,3.0,357781000.0,2235.0,20.0,0.56,14.0844013,100.4207698,24.85,6.839000225067139,43.85308074951172,0.10400000214576721,0.0,1.0,1668050563.0028
390883708.0,3.0,357781200.0,2235.0,20.0,0.56,14.0844103,100.4207782,24.85,6.634000301361084,42.489219665527344,0.004000000189989805,0.0,1.0,1668050563.202729
391083747.0,3.0,357781400.0,2235.0,20.0,0.56,14.0844192,100.4207861,24.87,6.371000289916992,41.2392692565918,-0.04700000211596489,0.0,1.0,1668050563.402768
391283709.0,3.0,357781600.0,2235.0,20.0,0.56,14.084427999999999,100.4207935,24.85,6.178000450134277,40.064697265625,0.0950000062584877,0.0,1.0,1668050563.60273
391483908.0,3.0,357781800.0,2235.0,20.0,0.56,14.084436499999999,100.42080039999999,24.86,5.801000118255615,38.506839752197266,0.0990000069141388,0.0,1.0,1668050563.802929
391683662.0,3.0,357782000.0,2235.0,20.0,0.56,14.0844448,100.42080659999999,24.85,5.6080002784729,36.714599609375,-0.0010000000474974513,0.0,1.0,1668050564.002683
391883597.0,3.0,357782200.0,2235.0,20.0,0.56,14.0844531,100.42081239999999,24.84,5.479000091552734,34.52853775024414,0.04800000041723251,0.0,1.0,1668050564.202618
392083667.0,3.0,357782400.0,2235.0,20.0,0.56,14.0844613,100.42081759999999,24.87,5.205000400543213,32.25748062133789,0.11300000548362732,0.0,1.0,1668050564.402688
392283704.0,3.0,357782600.0,2235.0,20.0,0.56,14.084469299999999,100.42082219999999,24.84,4.939000129699707,30.132659912109375,-0.009000000543892384,0.0,1.0,1668050564.602725
