TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv,timestamp
408936437.0,2.0,504.0,18084.0,46195.0,51163.0,48648.0,1668050581.2554579
409938915.0,2.0,506.0,18164.0,46028.0,51095.0,48392.0,1668050582.257936
410941026.0,2.0,503.0,18023.0,46325.0,51170.0,48825.0,1668050583.260047
411944085.0,2.0,510.0,18298.0,45997.0,51102.0,48449.0,1668050584.2631059
412946413.0,2.0,504.0,18084.0,46020.0,51073.0,48601.0,1668050585.265434
413948815.0,2.0,502.0,18004.0,46130.0,51178.0,48834.0,1668050586.267836
414951069.0,2.0,504.0,18084.0,46204.0,51152.0,48730.0,1668050587.27009
415953482.0,2.0,502.0,18026.0,45989.0,51071.0,48438.0,1668050588.272503
416956286.0,2.0,507.0,18209.0,46004.0,51155.0,48424.0,1668050589.275307
417958829.0,2.0,502.0,18026.0,46036.0,51055.0,48448.0,1668050590.27785
418961050.0,2.0,502.0,18026.0,46265.0,51106.0,48837.0,1668050591.280071
419963680.0,2.0,503.0,18055.0,46072.0,51082.0,48515.0,1668050592.282701
420966264.0,2.0,503.0,18045.0,46142.0,51108.0,48611.0,1668050593.285285
421968893.0,2.0,510.0,18348.0,45988.0,51039.0,48525.0,1668050594.287914
422970995.0,2.0,502.0,18026.0,46177.0,51112.0,48616.0,1668050595.290016
423973744.0,2.0,501.0,17997.0,46085.0,51091.0,48488.0,1668050596.292765
424977090.0,2.0,504.0,18088.0,46022.0,51056.0,48607.0,1668050597.2961109
425979703.0,2.0,500.0,17946.0,46157.0,51156.0,48626.0,1668050598.298724
426980973.0,2.0,507.0,18209.0,46216.0,51140.0,48894.0,1668050599.299994
427981008.0,2.0,501.0,17993.0,46182.0,51074.0,48635.0,1668050600.300029
428984004.0,2.0,509.0,18250.0,46069.0,51091.0,48361.0,1668050601.303025
429986878.0,2.0,524.0,18898.0,46150.0,51165.0,48728.0,1668050602.305899
430989005.0,2.0,501.0,17997.0,46033.0,51134.0,48616.0,1668050603.308026
431990988.0,2.0,512.0,18293.0,46211.0,51172.0,48645.0,1668050604.310009
432993589.0,2.0,502.0,18026.0,46059.0,51177.0,48632.0,1668050605.31261
433996408.0,2.0,501.0,17997.0,45945.0,51031.0,48621.0,1668050606.315429
434999345.0,2.0,502.0,18026.0,45891.0,51104.0,48386.0,1668050607.318366
436001405.0,2.0,502.0,18026.0,46149.0,51154.0,48612.0,1668050608.320426
437004207.0,2.0,506.0,18180.0,46120.0,51177.0,48886.0,1668050609.323228
438006646.0,2.0,502.0,18026.0,46175.0,51150.0,48565.0,1668050610.325667
439009052.0,2.0,504.0,18156.0,46013.0,51032.0,48488.0,1668050611.328073
440010960.0,2.0,502.0,18026.0,46099.0,51039.0,48393.0,1668050612.329981
441011012.0,2.0,502.0,18026.0,46007.0,51108.0,48434.0,1668050613.330033
442013597.0,2.0,503.0,18035.0,46137.0,51178.0,48730.0,1668050614.332618
443016364.0,2.0,505.0,18141.0,46111.0,51101.0,48600.0,1668050615.335385
444018855.0,2.0,502.0,18026.0,45986.0,51011.0,48571.0,1668050616.337876
445021124.0,2.0,502.0,18026.0,46105.0,51056.0,48501.0,1668050617.3401449
446023796.0,2.0,540.0,19128.0,46022.0,51044.0,48491.0,1668050618.342817
447026397.0,2.0,504.0,18084.0,45870.0,51052.0,48521.0,1668050619.345418
448028938.0,2.0,505.0,18151.0,46072.0,51141.0,48475.0,1668050620.347959
449031095.0,2.0,501.0,17997.0,46080.0,51162.0,48418.0,1668050621.350116
450033845.0,2.0,503.0,18025.0,46229.0,51096.0,48704.0,1668050622.352866
451036615.0,2.0,502.0,18026.0,46195.0,51038.0,48616.0,1668050623.355636
452038909.0,2.0,504.0,18064.0,46155.0,51071.0,48636.0,1668050624.35793
453041126.0,2.0,505.0,18141.0,45916.0,51144.0,48740.0,1668050625.360147
454044089.0,2.0,502.0,18026.0,46050.0,51069.0,48512.0,1668050626.36311
455046783.0,2.0,501.0,17997.0,46076.0,51162.0,48544.0,1668050627.365804
456048896.0,2.0,509.0,18327.0,46011.0,51160.0,48517.0,1668050628.367917
457049208.0,2.0,503.0,18033.0,46108.0,51166.0,48525.0,1668050629.368229
458051183.0,2.0,503.0,18093.0,46044.0,51121.0,48794.0,1668050630.370204
459053669.0,2.0,504.0,18106.0,46306.0,51175.0,48757.0,1668050631.37269
460056339.0,2.0,500.0,17946.0,46082.0,50915.0,48376.0,1668050632.37536
461058873.0,2.0,503.0,18077.0,46168.0,51127.0,48510.0,1668050633.377894
462061017.0,2.0,501.0,17955.0,46016.0,51054.0,48675.0,1668050634.380038
463063942.0,2.0,505.0,18173.0,46211.0,51115.0,48615.0,1668050635.382963
464066279.0,2.0,502.0,18016.0,46105.0,51145.0,48642.0,1668050636.3853
465068890.0,2.0,501.0,17997.0,46021.0,51072.0,48655.0,1668050637.387911
466071171.0,2.0,501.0,17997.0,46029.0,51130.0,48375.0,1668050638.390192
467073601.0,2.0,505.0,18113.0,46140.0,51162.0,48621.0,1668050639.392622
468077145.0,2.0,501.0,18013.0,46094.0,51116.0,48589.0,1668050640.396166
469079800.0,2.0,501.0,17997.0,45988.0,51151.0,48484.0,1668050641.3988209
470081076.0,2.0,502.0,18026.0,45954.0,51155.0,48777.0,1668050642.400097
471084139.0,2.0,509.0,18250.0,45741.0,51056.0,48370.0,1668050643.40316
472086895.0,2.0,525.0,18903.0,46076.0,51153.0,48517.0,1668050644.405916
473089095.0,2.0,506.0,18252.0,46040.0,51141.0,48654.0,1668050645.408116
474091014.0,2.0,508.0,18159.0,46112.0,51115.0,48552.0,1668050646.410035
475093656.0,2.0,502.0,18026.0,45987.0,51030.0,48512.0,1668050647.412677
476096290.0,2.0,501.0,17997.0,46009.0,51144.0,48512.0,1668050648.415311
477098859.0,2.0,504.0,18084.0,46173.0,51036.0,48451.0,1668050649.41788
478101024.0,2.0,503.0,18093.0,46059.0,51179.0,48717.0,1668050650.420045
479103746.0,2.0,502.0,18026.0,46049.0,51103.0,48580.0,1668050651.422767
480106586.0,2.0,500.0,17946.0,46297.0,51148.0,48724.0,1668050652.425607
481108903.0,2.0,502.0,18026.0,46073.0,51138.0,48655.0,1668050653.427924
482111021.0,2.0,503.0,18035.0,46054.0,51106.0,48612.0,1668050654.430042
483113664.0,2.0,503.0,18093.0,45800.0,51068.0,48346.0,1668050655.432685
484116570.0,2.0,503.0,18045.0,46191.0,51142.0,48523.0,1668050656.435591
485118784.0,2.0,501.0,17997.0,46180.0,51166.0,48869.0,1668050657.437805
486119122.0,2.0,500.0,17946.0,46055.0,51144.0,48614.0,1668050658.438143
487120995.0,2.0,506.0,18146.0,46125.0,51146.0,48745.0,1668050659.440016
488121216.0,2.0,503.0,18093.0,46039.0,51107.0,48369.0,1668050660.440237
489123722.0,2.0,501.0,17997.0,46098.0,51146.0,48590.0,1668050661.442743
490126566.0,2.0,499.0,17917.0,46081.0,51163.0,48751.0,1668050662.445587
491129339.0,2.0,505.0,18185.0,46018.0,51141.0,48600.0,1668050663.44836
492131252.0,2.0,503.0,18035.0,45893.0,51165.0,48574.0,1668050664.450273
493133730.0,2.0,506.0,18154.0,46018.0,51037.0,48377.0,1668050665.452751
494136289.0,2.0,500.0,17964.0,45948.0,51138.0,48415.0,1668050666.4553099
495138863.0,2.0,501.0,17997.0,46306.0,51114.0,48841.0,1668050667.457884
496141097.0,2.0,501.0,17965.0,46080.0,51083.0,48502.0,1668050668.460118
497144018.0,2.0,504.0,18084.0,46141.0,51142.0,48675.0,1668050669.463039
498146294.0,2.0,503.0,18093.0,45903.0,51085.0,48463.0,1668050670.465315
499148850.0,2.0,501.0,17997.0,46161.0,51050.0,48657.0,1668050671.467871
500151017.0,2.0,500.0,17946.0,46136.0,51160.0,48551.0,1668050672.470038
501153693.0,2.0,536.0,19272.0,45990.0,51150.0,48653.0,1668050673.472714
502156284.0,2.0,503.0,18035.0,45895.0,51110.0,48476.0,1668050674.475305
503159470.0,2.0,503.0,18093.0,46297.0,51137.0,48605.0,1668050675.478491
504161013.0,2.0,501.0,17997.0,45693.0,51090.0,48353.0,1668050676.4800339
505163871.0,2.0,504.0,18156.0,46103.0,51143.0,48567.0,1668050677.482892
506166610.0,2.0,499.0,17917.0,45978.0,51096.0,48753.0,1668050678.485631
507168856.0,2.0,503.0,18035.0,46039.0,51119.0,48683.0,1668050679.487877
508169055.0,2.0,502.0,18026.0,45793.0,51170.0,48423.0,1668050680.488076
509171013.0,2.0,503.0,18093.0,45685.0,51144.0,48341.0,1668050681.490034
510173796.0,2.0,501.0,17949.0,45982.0,51022.0,48690.0,1668050682.492817
511176388.0,2.0,502.0,18046.0,46081.0,51139.0,48604.0,1668050683.495409
512178843.0,2.0,504.0,18054.0,45869.0,51179.0,48545.0,1668050684.497864
513181051.0,2.0,501.0,17997.0,46127.0,51160.0,48623.0,1668050685.500072
514183739.0,2.0,504.0,18122.0,45962.0,51048.0,48449.0,1668050686.50276
515186528.0,2.0,501.0,17997.0,46220.0,51128.0,48824.0,1668050687.505549
516188811.0,2.0,498.0,17884.0,45911.0,51126.0,48499.0,1668050688.507832
517190985.0,2.0,503.0,18035.0,46131.0,51112.0,48612.0,1668050689.510006
518191076.0,2.0,503.0,18059.0,46039.0,51103.0,48539.0,1668050690.510097
519193698.0,2.0,504.0,18105.0,46191.0,51177.0,48750.0,1668050691.512719
520196412.0,2.0,502.0,18009.0,46054.0,51159.0,48555.0,1668050692.515433
521198796.0,2.0,500.0,17966.0,45733.0,51106.0,48353.0,1668050693.517817
522199705.0,2.0,510.0,18213.0,46009.0,50961.0,48447.0,1668050694.5187259
523202403.0,2.0,501.0,17997.0,45766.0,51147.0,48594.0,1668050695.521424
524204843.0,2.0,501.0,18013.0,45928.0,51143.0,48516.0,1668050696.523864
525207347.0,2.0,501.0,17997.0,45947.0,51033.0,48495.0,1668050697.526368
526209759.0,2.0,499.0,17917.0,45902.0,51040.0,48508.0,1668050698.52878
527212366.0,2.0,503.0,18035.0,46274.0,51063.0,48850.0,1668050699.531387
528215003.0,2.0,501.0,17997.0,45766.0,51149.0,48450.0,1668050700.534024
529217093.0,2.0,503.0,18093.0,46168.0,51152.0,48735.0,1668050701.536114
530219807.0,2.0,500.0,17936.0,45935.0,51073.0,48477.0,1668050702.538828
531222451.0,2.0,505.0,18205.0,45794.0,51033.0,48413.0,1668050703.541472
532224900.0,2.0,503.0,18035.0,46133.0,51173.0,48801.0,1668050704.543921
533225014.0,2.0,501.0,17997.0,45705.0,51164.0,48398.0,1668050705.544035
534227088.0,2.0,503.0,18163.0,45883.0,51171.0,48479.0,1668050706.546109
535229716.0,2.0,501.0,17997.0,46119.0,51152.0,48619.0,1668050707.548737
536232667.0,2.0,501.0,17997.0,45935.0,51094.0,48583.0,1668050708.551688
739704828.0,2.0,438.0,15432.0,46146.0,51181.0,48982.0,1668050912.023849
740707422.0,2.0,492.0,17426.0,46229.0,51139.0,48831.0,1668050913.026443
741709685.0,2.0,495.0,17469.0,46235.0,51032.0,48592.0,1668050914.028706
