TimeUS,chan,txp,rxp,rxdp,flags,timestamp
785317076.0,1.0,5177.0,770.0,0.0,6.0,1668050957.636097
786319731.0,1.0,5278.0,771.0,0.0,6.0,1668050958.638752
787322467.0,1.0,5379.0,772.0,0.0,6.0,1668050959.641488
788324727.0,1.0,5480.0,773.0,0.0,6.0,1668050960.643748
789327023.0,1.0,5581.0,774.0,0.0,6.0,1668050961.646044
790329784.0,1.0,5684.0,775.0,0.0,6.0,1668050962.648805
791332125.0,1.0,5785.0,776.0,0.0,6.0,1668050963.651146
792334777.0,1.0,5886.0,777.0,0.0,6.0,1668050964.653798
793336866.0,1.0,5987.0,778.0,0.0,6.0,1668050965.655887
794339645.0,1.0,6088.0,779.0,0.0,6.0,1668050966.658666
795342096.0,1.0,6192.0,780.0,0.0,6.0,1668050967.661117
796344839.0,1.0,6293.0,781.0,0.0,6.0,1668050968.66386
797346984.0,1.0,6394.0,782.0,0.0,6.0,1668050969.666005
798349689.0,1.0,6495.0,783.0,0.0,6.0,1668050970.66871
799352256.0,1.0,6596.0,784.0,0.0,6.0,1668050971.671277
800354740.0,1.0,6698.0,785.0,0.0,6.0,1668050972.673761
801356987.0,1.0,6800.0,786.0,0.0,6.0,1668050973.676008
802359671.0,1.0,6901.0,787.0,0.0,6.0,1668050974.678692
803362123.0,1.0,7002.0,788.0,0.0,6.0,1668050975.681144
804364770.0,1.0,7103.0,789.0,0.0,6.0,1668050976.683791
805366952.0,1.0,7204.0,790.0,0.0,6.0,1668050977.685973
806367012.0,1.0,7306.0,791.0,0.0,6.0,1668050978.686033
807369699.0,1.0,7407.0,792.0,0.0,6.0,1668050979.68872
808372355.0,1.0,7508.0,793.0,0.0,6.0,1668050980.691376
809374823.0,1.0,7609.0,794.0,0.0,6.0,1668050981.693844
810376999.0,1.0,7711.0,795.0,0.0,6.0,1668050982.69602
811380557.0,1.0,7812.0,796.0,0.0,6.0,1668050983.699578
812382382.0,1.0,7914.0,797.0,0.0,6.0,1668050984.701403
813384721.0,1.0,8015.0,798.0,0.0,6.0,1668050985.703742
814386935.0,1.0,8116.0,799.0,0.0,6.0,1668050986.705956
815389656.0,1.0,8217.0,800.0,0.0,6.0,1668050987.708677
816392385.0,1.0,8318.0,801.0,0.0,6.0,1668050988.711406
817394870.0,1.0,8420.0,802.0,0.0,6.0,1668050989.713891
818396940.0,1.0,8521.0,803.0,0.0,6.0,1668050990.715961
819399725.0,1.0,8622.0,804.0,0.0,6.0,1668050991.718746
820402557.0,1.0,8724.0,805.0,0.0,6.0,1668050992.721578
821404758.0,1.0,8825.0,806.0,0.0,6.0,1668050993.723779
822406901.0,1.0,8926.0,807.0,0.0,6.0,1668050994.7259219
823409597.0,1.0,9032.0,808.0,0.0,6.0,1668050995.728618
824412379.0,1.0,9133.0,809.0,0.0,6.0,1668050996.7314
825414870.0,1.0,9234.0,810.0,0.0,6.0,1668050997.733891
826416992.0,1.0,9337.0,811.0,0.0,6.0,1668050998.736013
827419743.0,1.0,9438.0,812.0,0.0,6.0,1668050999.738764
828420325.0,1.0,9540.0,813.0,0.0,6.0,1668051000.739346
829422356.0,1.0,9641.0,814.0,0.0,6.0,1668051001.7413769
830424764.0,1.0,9743.0,815.0,0.0,6.0,1668051002.743785
831426919.0,1.0,9844.0,816.0,0.0,6.0,1668051003.74594
832429602.0,1.0,9945.0,817.0,0.0,6.0,1668051004.748623
833432345.0,1.0,10046.0,818.0,0.0,6.0,1668051005.751366
834434738.0,1.0,10148.0,819.0,0.0,6.0,1668051006.753759
835436982.0,1.0,10249.0,820.0,0.0,6.0,1668051007.756003
836439771.0,1.0,10350.0,821.0,0.0,6.0,1668051008.758792
837442355.0,1.0,10451.0,822.0,0.0,6.0,1668051009.761376
838444762.0,1.0,10552.0,823.0,0.0,6.0,1668051010.763783
839446937.0,1.0,10660.0,824.0,0.0,6.0,1668051011.765958
840449670.0,1.0,10766.0,825.0,0.0,6.0,1668051012.768691
841452417.0,1.0,10868.0,826.0,0.0,6.0,1668051013.771438
842454748.0,1.0,10969.0,827.0,0.0,6.0,1668051014.773769
843456931.0,1.0,11070.0,828.0,0.0,6.0,1668051015.775952
844457034.0,1.0,11171.0,829.0,0.0,6.0,1668051016.776055
845459674.0,1.0,11273.0,830.0,0.0,6.0,1668051017.7786949
846462225.0,1.0,11374.0,831.0,0.0,6.0,1668051018.781246
847464841.0,1.0,11475.0,832.0,0.0,6.0,1668051019.7838619
848466993.0,1.0,11576.0,833.0,0.0,6.0,1668051020.786014
849467178.0,1.0,11677.0,834.0,0.0,6.0,1668051021.786199
850469776.0,1.0,11780.0,835.0,0.0,6.0,1668051022.788797
851472222.0,1.0,11881.0,836.0,0.0,6.0,1668051023.791243
852475194.0,1.0,11982.0,837.0,0.0,6.0,1668051024.794215
853476958.0,1.0,12083.0,838.0,0.0,6.0,1668051025.795979
854479692.0,1.0,12184.0,839.0,0.0,6.0,1668051026.798713
855482623.0,1.0,12285.0,840.0,0.0,6.0,1668051027.801644
856484925.0,1.0,12389.0,841.0,0.0,6.0,1668051028.803946
857486890.0,1.0,12490.0,842.0,0.0,6.0,1668051029.805911
858489567.0,1.0,12591.0,843.0,0.0,6.0,1668051030.808588
859492188.0,1.0,12692.0,844.0,0.0,6.0,1668051031.811209
860494794.0,1.0,12794.0,845.0,0.0,6.0,1668051032.8138149
861496983.0,1.0,12896.0,846.0,0.0,6.0,1668051033.816004
862499723.0,1.0,12999.0,847.0,0.0,6.0,1668051034.818744
863502373.0,1.0,13104.0,848.0,0.0,6.0,1668051035.821394
864504742.0,1.0,13211.0,849.0,0.0,6.0,1668051036.823763
865506948.0,1.0,13314.0,850.0,0.0,6.0,1668051037.825969
866509611.0,1.0,13418.0,851.0,0.0,6.0,1668051038.8286319
867512356.0,1.0,13521.0,852.0,0.0,6.0,1668051039.831377
868514700.0,1.0,13622.0,853.0,0.0,6.0,1668051040.833721
869515754.0,1.0,13732.0,854.0,0.0,6.0,1668051041.834775
870517016.0,1.0,13836.0,855.0,0.0,6.0,1668051042.836037
871520358.0,1.0,13937.0,856.0,0.0,6.0,1668051043.839379
872522564.0,1.0,14039.0,857.0,0.0,6.0,1668051044.841585
873524959.0,1.0,14140.0,858.0,0.0,6.0,1668051045.84398
874527154.0,1.0,14241.0,859.0,0.0,6.0,1668051046.846175
875529689.0,1.0,14342.0,860.0,0.0,6.0,1668051047.84871
876532441.0,1.0,14443.0,861.0,0.0,6.0,1668051048.851462
877534785.0,1.0,14545.0,862.0,0.0,6.0,1668051049.853806
878537008.0,1.0,14646.0,863.0,0.0,6.0,1668051050.856029
879539718.0,1.0,14747.0,864.0,0.0,6.0,1668051051.858739
880542159.0,1.0,14849.0,865.0,0.0,6.0,1668051052.86118
881544742.0,1.0,14950.0,866.0,0.0,6.0,1668051053.863763
882546915.0,1.0,15051.0,867.0,0.0,6.0,1668051054.865936
883549558.0,1.0,15153.0,868.0,0.0,6.0,1668051055.868579
884552296.0,1.0,15254.0,869.0,0.0,6.0,1668051056.871317
885554881.0,1.0,15355.0,870.0,0.0,6.0,1668051057.873902
886557002.0,1.0,15456.0,871.0,0.0,6.0,1668051058.876023
887559711.0,1.0,15559.0,872.0,0.0,6.0,1668051059.878732
888562286.0,1.0,15661.0,873.0,0.0,6.0,1668051060.881307
889564815.0,1.0,15762.0,874.0,0.0,6.0,1668051061.883836
890566906.0,1.0,15864.0,875.0,0.0,6.0,1668051062.885927
891569868.0,1.0,15965.0,876.0,0.0,6.0,1668051063.888889
892572351.0,1.0,16066.0,877.0,0.0,6.0,1668051064.891372
893574909.0,1.0,16167.0,878.0,0.0,6.0,1668051065.89393
894576936.0,1.0,16269.0,879.0,0.0,6.0,1668051066.895957
895577032.0,1.0,16370.0,880.0,0.0,6.0,1668051067.896053
896580032.0,1.0,16471.0,881.0,0.0,6.0,1668051068.899053
897582341.0,1.0,16572.0,882.0,0.0,6.0,1668051069.901362
898584812.0,1.0,16673.0,883.0,0.0,6.0,1668051070.903833
899586944.0,1.0,16775.0,884.0,0.0,6.0,1668051071.905965
900589661.0,1.0,16877.0,885.0,0.0,6.0,1668051072.9086819
901592192.0,1.0,16978.0,886.0,0.0,6.0,1668051073.911213
902594714.0,1.0,17079.0,887.0,0.0,6.0,1668051074.913735
