TimeUS,Name,Value,timestamp
220920162,INS_GYRO_FILTER,8.0,1668050393.239183
220920221,INS_ACCEL_FILTER,20.0,1668050393.239242
220920241,INS_USE,1.0,1668050393.239262
220920261,INS_USE2,1.0,1668050393.239282
220920280,INS_USE3,1.0,1668050393.239301
220920300,INS_STILL_THRESH,2.5,1668050393.239321
220920417,INS_GYR_CAL,1.0,1668050393.239438
220920438,INS_TRIM_OPTION,1.0,1668050393.239459
220920459,INS_ACC_BODYFIX,2.0,1668050393.23948
220920484,INS_POS1_X,0.0,1668050393.239505
220920502,INS_POS1_Y,0.0,1668050393.239523
220920520,INS_POS1_Z,0.0,1668050393.239541
220920586,INS_POS2_X,0.0,1668050393.239607
220920606,INS_POS2_Y,0.0,1668050393.239627
220920625,INS_POS2_Z,0.0,1668050393.239646
220920653,INS_POS3_X,0.0,1668050393.239674
220920672,INS_POS3_Y,0.0,1668050393.239693
220920691,INS_POS3_Z,0.0,1668050393.239712
220920710,INS_GYR_ID,2621706.0,1668050393.239731
220920795,INS_GYR2_ID,3080714.0,1668050393.239816
220920818,INS_GYR3_ID,2687754.0,1668050393.239839
220920838,INS_ACC_ID,2621706.0,1668050393.239859
220920857,INS_ACC2_ID,3080714.0,1668050393.239878
220920914,INS_ACC3_ID,2688010.0,1668050393.239935
220921044,INS_FAST_SAMPLE,1.0,1668050393.240065
220921093,INS_NOTCH_ENABLE,0.0,1668050393.240114
220921117,INS_LOG_BAT_CNT,1024.0,1668050393.240138
220921227,INS_LOG_BAT_MASK,0.0,1668050393.240248
220921261,INS_LOG_BAT_OPT,0.0,1668050393.240282
220921294,INS_LOG_BAT_LGIN,20.0,1668050393.240315
220921321,INS_LOG_BAT_LGCT,32.0,1668050393.240342
220921497,INS_ENABLE_MASK,127.0,1668050393.240518
220921619,INS_HNTCH_ENABLE,0.0,1668050393.24064
220921642,WPNAV_SPEED,500.0,1668050393.240663
220921658,WPNAV_RADIUS,200.0,1668050393.240679
220921673,WPNAV_SPEED_UP,250.0,1668050393.240694
220921688,WPNAV_SPEED_DN,150.0,1668050393.240709
220921703,WPNAV_ACCEL,250.0,1668050393.240724
220921719,WPNAV_ACCEL_Z,250.0,1668050393.24074
220921743,WPNAV_RFND_USE,1.0,1668050393.240764
220921815,LOIT_ANG_MAX,0.0,1668050393.240836
220921831,LOIT_SPEED,1000.0,1668050393.2408519
220921846,LOIT_ACC_MAX,250.0,1668050393.240867
220921861,LOIT_BRK_ACCEL,250.0,1668050393.240882
220921877,LOIT_BRK_JERK,500.0,1668050393.240898
220921893,LOIT_BRK_DELAY,0.20000000298023224,1668050393.2409139
220921994,CIRCLE_RADIUS,1000.0,1668050393.241015
220922051,CIRCLE_RATE,20.0,1668050393.241072
220922067,CIRCLE_CONTROL,1.0,1668050393.241088
220922085,ATC_SLEW_YAW,6000.0,1668050393.241106
220922102,ATC_ACCEL_Y_MAX,14000.0,1668050393.241123
220922120,ATC_RATE_FF_ENAB,1.0,1668050393.241141
220922156,ATC_ACCEL_R_MAX,14000.0,1668050393.241177
220922237,ATC_ACCEL_P_MAX,15000.0,1668050393.241258
220922258,ATC_ANGLE_BOOST,1.0,1668050393.241279
220922278,ATC_ANG_RLL_P,2.0,1668050393.241299
220922299,ATC_ANG_PIT_P,3.0,1668050393.24132
220922320,ATC_ANG_YAW_P,3.0,1668050393.2413409
220922435,ATC_ANG_LIM_TC,1.0,1668050393.241456
220922458,ATC_RATE_R_MAX,0.0,1668050393.241479
220922480,ATC_RATE_P_MAX,0.0,1668050393.241501
220922501,ATC_RATE_Y_MAX,50.0,1668050393.241522
220922527,ATC_INPUT_TC,0.15000000596046448,1668050393.241548
220922594,ATC_RAT_RLL_P,0.14000000059604645,1668050393.241615
220922626,ATC_RAT_RLL_I,0.14000000059604645,1668050393.241647
220922650,ATC_RAT_RLL_D,0.0010000000474974513,1668050393.241671
220922673,ATC_RAT_RLL_FF,0.0,1668050393.241694
220922700,ATC_RAT_RLL_IMAX,0.5,1668050393.241721
