TimeUS,Active,NumPts,MaxPts,Action,N,E,D,timestamp
841398621.0,1.0,50.0,300.0,2.0,-3.482060670852661,-25.778772354125977,-9.34896469116211,1668051013.717642
841398628.0,1.0,50.0,300.0,2.0,-4.836849689483643,-29.748291015625,-9.569704055786133,1668051013.717649
841398656.0,1.0,50.0,300.0,2.0,-6.7008137702941895,-30.908451080322266,-9.529685020446777,1668051013.7176769
841398663.0,1.0,50.0,300.0,2.0,-7.891112804412842,-32.672889709472656,-9.517556190490723,1668051013.717684
841398670.0,1.0,50.0,300.0,2.0,-9.143452644348145,-36.00771713256836,-9.421510696411133,1668051013.717691
841398677.0,1.0,50.0,300.0,2.0,-7.594320774078369,-37.890357971191406,-9.417055130004883,1668051013.717698
841398684.0,1.0,50.0,300.0,2.0,-6.068396091461182,-39.94563293457031,-9.416650772094727,1668051013.717705
841398690.0,1.0,50.0,300.0,2.0,-5.296478271484375,-42.11974334716797,-9.40234088897705,1668051013.717711
841398697.0,1.0,50.0,300.0,2.0,-5.086328029632568,-44.23014831542969,-9.405477523803711,1668051013.717718
841398704.0,1.0,50.0,300.0,2.0,-2.228581428527832,-46.42100524902344,-9.436779022216797,1668051013.717725
841398711.0,1.0,50.0,300.0,2.0,-0.1489734649658203,-46.59306716918945,-9.446667671203613,1668051013.717732
841398718.0,1.0,50.0,300.0,2.0,2.147773027420044,-46.79278564453125,-9.412230491638184,1668051013.717739
841400052.0,1.0,50.0,300.0,2.0,2.3511292934417725,-49.02088165283203,-9.218396186828613,1668051013.719073
841400060.0,1.0,50.0,300.0,2.0,0.15956448018550873,-49.54911804199219,-9.205032348632812,1668051013.719081
841400067.0,1.0,50.0,300.0,2.0,-2.0584163665771484,-50.10329055786133,-9.200311660766602,1668051013.719088
841400074.0,1.0,50.0,300.0,2.0,-3.914759397506714,-53.88517379760742,-9.18899917602539,1668051013.719095
841400081.0,1.0,50.0,300.0,2.0,-3.7696573734283447,-57.99355697631836,-9.143716812133789,1668051013.719102
