TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config,timestamp
1041291480.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051213.610501
1046291718.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051218.610739
1051291566.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051223.610587
1056291558.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051228.610579
1061291418.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051233.610439
1066291392.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051238.610413
1071291449.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051243.61047
1076291533.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051248.610554
1081291425.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051253.610446
1086291583.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051258.610604
1091291494.0,0.0,101.0,16.0,1.0,1248.0,0.0,1668051263.6105149
1096291636.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051268.610657
1101291505.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051273.610526
1106291395.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051278.610416
1111291424.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051283.610445
1116291569.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051288.61059
1121291430.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051293.610451
1126291515.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051298.610536
1131291390.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051303.610411
1136291546.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051308.610567
1141291458.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051313.6104789
1146291451.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051318.610472
1151291606.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051323.610627
1156291492.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051328.610513
1161291469.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051333.61049
1166291573.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051338.610594
1171291598.0,0.0,101.0,13.0,1.0,1248.0,0.0,1668051343.610619
1176286378.0,0.0,101.0,13.0,1.0,1248.0,0.0,1668051348.605399
1181286353.0,0.0,101.0,13.0,1.0,1248.0,0.0,1668051353.605374
1186286247.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051358.605268
