TimeUS,SetP,NxtP,TotP,SPD,CLat,CLng,CAlt,Opt1,timestamp
748582847.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050920.901868
749583039.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050921.90206
750582853.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050922.901874
751582851.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050923.901872
752582987.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050924.902008
753582987.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050925.902008
754582884.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050926.901905
755582852.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050927.9018729
756582855.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050928.901876
757582998.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050929.902019
758583001.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050930.902022
759582873.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050931.901894
760582942.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050932.901963
761583140.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050933.902161
762582882.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050934.901903
763583063.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050935.9020839
764583018.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050936.902039
765582863.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050937.901884
766582850.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050938.901871
767582942.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050939.901963
768583065.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050940.902086
769582919.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050941.9019399
770583190.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050942.902211
771582862.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050943.901883
772582911.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050944.901932
773582790.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050945.901811
774582976.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050946.901997
775582887.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050947.901908
776582930.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050948.901951
777582894.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050949.901915
778583062.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050950.902083
779583009.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050951.90203
