TimeUS,SpyTT,SpyCR,SpyTR,PmpPos,PowF,PowR,AREA,Out,OutFlw,timestamp
344884719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050517.20374
345884876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050518.203897
346884775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050519.203796
347886550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050520.205571
348886253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050521.205274
349886597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050522.205618
350886622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050523.205643
351886627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050524.205648
352886593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050525.205614
353886712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050526.205733
354886660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050527.205681
355886561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050528.205582
356886617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050529.205638
357886662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050530.205683
358886631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050531.205652
359886619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050532.20564
360886655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050533.205676
361886646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050534.205667
362886733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050535.205754
363886627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050536.205648
364886640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050537.205661
365886640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050538.205661
366886471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050539.205492
367886486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050540.205507
368886566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050541.205587
369886565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050542.205586
370886604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050543.205625
371886751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050544.205772
372887048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050545.206069
