TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,timestamp
234986738.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.305759
235086808.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.405829
235186847.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.505868
235286960.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.6059809
235387194.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.706215
235486881.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.805902
235586767.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050407.905788
235686797.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050408.005818
238399092.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050410.718113
238499453.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050410.818474
238598841.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050410.917862
238698957.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.017978
238798973.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.117994
238898922.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.217943
238998969.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.31799
239098882.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.417903
239198934.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.517955
239298926.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.617947
239398958.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.717979
239499022.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.818043
239598905.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050411.917926
239698975.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.017996
239798892.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.117913
