TimeUS,Instance,Dist,Stat,Orient,timestamp
234634022.0,1.0,0.22,4.0,25.0,1668050406.953043
234684265.0,0.0,4.25,1.0,0.0,1668050407.003286
234684273.0,1.0,0.22,4.0,25.0,1668050407.003294
234733883.0,0.0,4.25,1.0,0.0,1668050407.052904
234733893.0,1.0,0.22,4.0,25.0,1668050407.052914
234784361.0,0.0,4.25,1.0,0.0,1668050407.1033819
234784422.0,1.0,0.22,4.0,25.0,1668050407.103443
234833856.0,0.0,4.25,1.0,0.0,1668050407.152877
234833867.0,1.0,0.22,4.0,25.0,1668050407.152888
234884208.0,0.0,4.25,1.0,0.0,1668050407.203229
234884216.0,1.0,0.22,4.0,25.0,1668050407.203237
234933928.0,0.0,4.25,1.0,0.0,1668050407.252949
234933938.0,1.0,0.22,4.0,25.0,1668050407.252959
234984115.0,0.0,4.25,1.0,0.0,1668050407.3031359
234984124.0,1.0,0.22,4.0,25.0,1668050407.303145
235033931.0,0.0,4.25,1.0,0.0,1668050407.352952
235033941.0,1.0,0.22,4.0,25.0,1668050407.352962
235084393.0,0.0,4.25,1.0,0.0,1668050407.403414
235084437.0,1.0,0.22,4.0,25.0,1668050407.4034579
235134039.0,0.0,4.25,1.0,0.0,1668050407.45306
235134109.0,1.0,0.22,4.0,25.0,1668050407.45313
235184389.0,0.0,4.25,1.0,0.0,1668050407.50341
235184398.0,1.0,0.22,4.0,25.0,1668050407.503419
235233938.0,0.0,4.25,1.0,0.0,1668050407.552959
235233948.0,1.0,0.22,4.0,25.0,1668050407.552969
235284291.0,0.0,4.25,1.0,0.0,1668050407.603312
235284299.0,1.0,0.22,4.0,25.0,1668050407.60332
235333877.0,0.0,4.25,1.0,0.0,1668050407.652898
235333887.0,1.0,0.22,4.0,25.0,1668050407.652908
235384453.0,0.0,4.25,1.0,0.0,1668050407.703474
235384538.0,1.0,0.22,4.0,25.0,1668050407.703559
235433907.0,0.0,4.25,1.0,0.0,1668050407.752928
235433917.0,1.0,0.22,4.0,25.0,1668050407.752938
235484320.0,0.0,4.25,1.0,0.0,1668050407.803341
235484329.0,1.0,0.22,4.0,25.0,1668050407.80335
235533996.0,0.0,4.25,1.0,0.0,1668050407.853017
235534006.0,1.0,0.22,4.0,25.0,1668050407.853027
235584173.0,0.0,4.25,1.0,0.0,1668050407.903194
235584181.0,1.0,0.22,4.0,25.0,1668050407.903202
235633912.0,0.0,4.25,1.0,0.0,1668050407.952933
235633991.0,1.0,0.22,4.0,25.0,1668050407.953012
235684357.0,0.0,4.25,1.0,0.0,1668050408.003378
235684366.0,1.0,0.22,4.0,25.0,1668050408.003387
238333695.0,0.0,4.2700000000000005,1.0,0.0,1668050410.652716
238333705.0,1.0,0.22,4.0,25.0,1668050410.652726
238383932.0,0.0,4.2700000000000005,1.0,0.0,1668050410.702953
238383941.0,1.0,0.22,4.0,25.0,1668050410.702962
238445994.0,0.0,4.2700000000000005,1.0,0.0,1668050410.765015
238446004.0,1.0,0.22,4.0,25.0,1668050410.765025
238495795.0,0.0,4.2700000000000005,1.0,0.0,1668050410.814816
238495803.0,1.0,0.22,4.0,25.0,1668050410.814824
238545822.0,0.0,4.2700000000000005,1.0,0.0,1668050410.864843
238545835.0,1.0,0.22,4.0,25.0,1668050410.864856
238596054.0,0.0,4.2700000000000005,1.0,0.0,1668050410.915075
238596066.0,1.0,0.22,4.0,25.0,1668050410.915087
238645854.0,0.0,4.2700000000000005,1.0,0.0,1668050410.964875
238645864.0,1.0,0.25,4.0,25.0,1668050410.964885
238695937.0,0.0,4.2700000000000005,1.0,0.0,1668050411.014958
238695946.0,1.0,0.25,4.0,25.0,1668050411.014967
238745752.0,0.0,4.2700000000000005,1.0,0.0,1668050411.064773
238745764.0,1.0,0.25,4.0,25.0,1668050411.064785
238796124.0,0.0,4.2700000000000005,1.0,0.0,1668050411.115145
238796133.0,1.0,0.25,4.0,25.0,1668050411.115154
238845765.0,0.0,4.2700000000000005,1.0,0.0,1668050411.164786
238845774.0,1.0,0.22,4.0,25.0,1668050411.164795
238895916.0,0.0,4.2700000000000005,1.0,0.0,1668050411.214937
238895924.0,1.0,0.25,4.0,25.0,1668050411.214945
238945805.0,0.0,4.2700000000000005,1.0,0.0,1668050411.264826
238945816.0,1.0,0.25,4.0,25.0,1668050411.264837
238995909.0,0.0,4.2700000000000005,1.0,0.0,1668050411.31493
238995917.0,1.0,0.22,4.0,25.0,1668050411.314938
239045873.0,0.0,4.2700000000000005,1.0,0.0,1668050411.364894
239045883.0,1.0,0.25,4.0,25.0,1668050411.364904
239096182.0,0.0,4.25,2.0,0.0,1668050411.415203
239096191.0,1.0,0.25,4.0,25.0,1668050411.415212
239145746.0,0.0,4.25,2.0,0.0,1668050411.464767
239145756.0,1.0,0.25,4.0,25.0,1668050411.464777
239195860.0,0.0,4.25,2.0,0.0,1668050411.514881
239195949.0,1.0,0.25,4.0,25.0,1668050411.51497
239245725.0,0.0,4.25,1.0,0.0,1668050411.564746
239245735.0,1.0,0.25,4.0,25.0,1668050411.564756
239296032.0,0.0,4.25,1.0,0.0,1668050411.615053
239296096.0,1.0,0.25,4.0,25.0,1668050411.615117
239345822.0,0.0,4.25,1.0,0.0,1668050411.664843
239345832.0,1.0,0.25,4.0,25.0,1668050411.664853
239395895.0,0.0,4.25,1.0,0.0,1668050411.714916
239395903.0,1.0,0.25,4.0,25.0,1668050411.714924
239445791.0,0.0,4.25,1.0,0.0,1668050411.764812
239445801.0,1.0,0.25,4.0,25.0,1668050411.764822
239496279.0,0.0,4.25,1.0,0.0,1668050411.8153
239496288.0,1.0,0.25,4.0,25.0,1668050411.815309
239545835.0,0.0,4.25,1.0,0.0,1668050411.864856
239545845.0,1.0,0.25,4.0,25.0,1668050411.864866
239596016.0,0.0,4.25,1.0,0.0,1668050411.915037
239596025.0,1.0,0.25,4.0,25.0,1668050411.915046
239645718.0,0.0,4.25,1.0,0.0,1668050411.964739
239645728.0,1.0,0.25,4.0,25.0,1668050411.964749
239696145.0,0.0,4.25,1.0,0.0,1668050412.015166
239696153.0,1.0,0.25,4.0,25.0,1668050412.015174
239745792.0,0.0,4.25,1.0,0.0,1668050412.064813
239745803.0,1.0,0.25,4.0,25.0,1668050412.064824
239795971.0,0.0,4.25,1.0,0.0,1668050412.114992
239795980.0,1.0,0.25,4.0,25.0,1668050412.115001
239845709.0,0.0,4.25,1.0,0.0,1668050412.16473
239845719.0,1.0,0.25,4.0,25.0,1668050412.16474
239895847.0,0.0,4.25,1.0,0.0,1668050412.214868
239895856.0,1.0,0.25,4.0,25.0,1668050412.214877
239945845.0,0.0,4.25,1.0,0.0,1668050412.2648659
239945855.0,1.0,0.25,4.0,25.0,1668050412.264876
239995897.0,0.0,4.25,1.0,0.0,1668050412.314918
239995905.0,1.0,0.25,4.0,25.0,1668050412.314926
240045792.0,0.0,4.25,1.0,0.0,1668050412.364813
240045802.0,1.0,0.22,4.0,25.0,1668050412.364823
240095870.0,0.0,4.25,1.0,0.0,1668050412.414891
240095878.0,1.0,0.22,4.0,25.0,1668050412.4148989
240145706.0,0.0,4.25,1.0,0.0,1668050412.464727
240145719.0,1.0,0.22,4.0,25.0,1668050412.46474
240195927.0,0.0,4.25,1.0,0.0,1668050412.514948
240195936.0,1.0,0.22,4.0,25.0,1668050412.514957
240245762.0,0.0,4.25,1.0,0.0,1668050412.564783
240245772.0,1.0,0.25,4.0,25.0,1668050412.5647929
240295945.0,0.0,4.25,1.0,0.0,1668050412.614966
240295954.0,1.0,0.22,4.0,25.0,1668050412.614975
240345710.0,0.0,4.25,1.0,0.0,1668050412.664731
240345765.0,1.0,0.22,4.0,25.0,1668050412.664786
240395978.0,0.0,4.25,1.0,0.0,1668050412.714999
240396046.0,1.0,0.22,4.0,25.0,1668050412.715067
240445780.0,0.0,4.25,1.0,0.0,1668050412.764801
240445790.0,1.0,0.22,4.0,25.0,1668050412.764811
240495991.0,0.0,4.25,1.0,0.0,1668050412.815012
240496000.0,1.0,0.22,4.0,25.0,1668050412.815021
240545830.0,0.0,4.25,1.0,0.0,1668050412.864851
240545840.0,1.0,0.22,4.0,25.0,1668050412.864861
240595837.0,0.0,4.25,1.0,0.0,1668050412.914858
240595845.0,1.0,0.22,4.0,25.0,1668050412.914866
240645787.0,0.0,4.25,1.0,0.0,1668050412.964808
240645797.0,1.0,0.22,4.0,25.0,1668050412.964818
240695902.0,0.0,4.25,1.0,0.0,1668050413.014923
240695911.0,1.0,0.22,4.0,25.0,1668050413.014932
240745797.0,0.0,4.25,1.0,0.0,1668050413.064818
240745869.0,1.0,0.22,4.0,25.0,1668050413.06489
240796130.0,0.0,4.25,1.0,0.0,1668050413.115151
240796139.0,1.0,0.25,4.0,25.0,1668050413.11516
240845836.0,0.0,4.25,1.0,0.0,1668050413.164857
240845928.0,1.0,0.22,4.0,25.0,1668050413.164949
240896109.0,0.0,4.25,1.0,0.0,1668050413.21513
