TimeUS,AThrs,WThrs,MaxP,MotM,IsA,IsW,Cnt,timestamp
469789211.0,1908.0,1867.0,1464.4771728515625,3.0,0.0,0.0,0.0,1668050642.108232
469889303.0,1908.0,1867.0,1465.2200927734375,3.0,0.0,0.0,0.0,1668050642.208324
469989157.0,1908.0,1867.0,1465.8626708984375,3.0,0.0,0.0,0.0,1668050642.308178
470089264.0,1908.0,1867.0,1466.315185546875,3.0,0.0,0.0,0.0,1668050642.408285
470189400.0,1908.0,1867.0,1466.69189453125,3.0,0.0,0.0,0.0,1668050642.508421
470289228.0,1908.0,1867.0,1466.964111328125,3.0,0.0,0.0,0.0,1668050642.608249
470389150.0,1908.0,1867.0,1467.104248046875,3.0,0.0,0.0,0.0,1668050642.708171
470489311.0,1908.0,1867.0,1467.3173828125,3.0,0.0,0.0,0.0,1668050642.808332
470589223.0,1908.0,1867.0,1467.5858154296875,3.0,0.0,0.0,0.0,1668050642.908244
470689110.0,1908.0,1867.0,1467.7376708984375,3.0,0.0,0.0,0.0,1668050643.008131
470789148.0,1908.0,1867.0,1467.7919921875,3.0,0.0,0.0,0.0,1668050643.108169
470889205.0,1908.0,1867.0,1467.7674560546875,3.0,0.0,0.0,100.0,1668050643.208226
470989245.0,1908.0,1867.0,1467.573486328125,3.0,0.0,0.0,200.0,1668050643.308266
471089410.0,1908.0,1867.0,1467.21533203125,3.0,0.0,0.0,300.0,1668050643.408431
471189771.0,1908.0,1867.0,1466.7445068359375,3.0,0.0,0.0,400.0,1668050643.508792
471289306.0,1908.0,1867.0,1466.25732421875,3.0,0.0,0.0,500.0,1668050643.608327
471389792.0,1828.0,1787.0,1465.677001953125,3.0,0.0,0.0,0.0,1668050643.708813
471489520.0,1828.0,1787.0,1464.9136962890625,3.0,0.0,0.0,0.0,1668050643.808541
471589803.0,1828.0,1787.0,1464.1429443359375,3.0,0.0,0.0,0.0,1668050643.908824
471689338.0,1828.0,1787.0,1463.3187255859375,3.0,0.0,0.0,0.0,1668050644.008359
471789147.0,1828.0,1787.0,1462.4117431640625,3.0,0.0,0.0,0.0,1668050644.108168
471889250.0,1828.0,1787.0,1461.517333984375,3.0,0.0,0.0,0.0,1668050644.208271
471989254.0,1828.0,1787.0,1460.7279052734375,3.0,0.0,0.0,0.0,1668050644.308275
472089252.0,1828.0,1787.0,1460.00927734375,3.0,0.0,0.0,0.0,1668050644.408273
472189174.0,1828.0,1787.0,1459.1737060546875,3.0,0.0,0.0,0.0,1668050644.508195
472289251.0,1828.0,1787.0,1458.317626953125,3.0,0.0,0.0,0.0,1668050644.608272
472389206.0,1828.0,1787.0,1457.488037109375,3.0,0.0,0.0,0.0,1668050644.708227
472489528.0,1828.0,1787.0,1456.6531982421875,3.0,0.0,0.0,0.0,1668050644.808549
472589249.0,1828.0,1787.0,1455.875,3.0,0.0,0.0,0.0,1668050644.90827
472689330.0,1828.0,1787.0,1455.1363525390625,3.0,0.0,0.0,0.0,1668050645.008351
472789067.0,1828.0,1787.0,1454.4979248046875,3.0,0.0,0.0,0.0,1668050645.108088
472889397.0,1828.0,1787.0,1453.971923828125,3.0,0.0,0.0,0.0,1668050645.208418
472989223.0,1828.0,1787.0,1453.3385009765625,3.0,0.0,0.0,0.0,1668050645.308244
473089294.0,1828.0,1787.0,1452.5391845703125,3.0,0.0,0.0,0.0,1668050645.408315
473189294.0,1828.0,1787.0,1451.7491455078125,3.0,0.0,0.0,0.0,1668050645.508315
473289306.0,1828.0,1787.0,1450.9835205078125,3.0,0.0,0.0,0.0,1668050645.608327
473389208.0,1828.0,1787.0,1450.3140869140625,1.0,0.0,0.0,0.0,1668050645.708229
473489381.0,1828.0,1787.0,1449.9639892578125,1.0,0.0,0.0,0.0,1668050645.808402
473589186.0,1828.0,1787.0,1449.59375,1.0,0.0,0.0,0.0,1668050645.908207
473689339.0,1828.0,1787.0,1449.25048828125,1.0,0.0,0.0,0.0,1668050646.00836
473789433.0,1828.0,1787.0,1448.90234375,1.0,0.0,0.0,0.0,1668050646.108454
473889286.0,1828.0,1787.0,1448.5958251953125,1.0,0.0,0.0,0.0,1668050646.208307
473989262.0,1828.0,1787.0,1448.3143310546875,1.0,0.0,0.0,0.0,1668050646.308283
474089190.0,1828.0,1787.0,1448.087890625,1.0,0.0,0.0,0.0,1668050646.408211
474189238.0,1828.0,1787.0,1447.9766845703125,1.0,0.0,0.0,0.0,1668050646.508259
474289249.0,1828.0,1787.0,1447.9462890625,1.0,0.0,0.0,0.0,1668050646.60827
474389127.0,1828.0,1787.0,1447.9014892578125,1.0,0.0,0.0,0.0,1668050646.708148
474489314.0,1828.0,1787.0,1447.8270263671875,1.0,0.0,0.0,0.0,1668050646.808335
474589222.0,1828.0,1787.0,1447.770263671875,1.0,0.0,0.0,0.0,1668050646.908243
474689474.0,1828.0,1787.0,1447.8699951171875,1.0,0.0,0.0,0.0,1668050647.008495
474789192.0,1828.0,1787.0,1448.0130615234375,1.0,0.0,0.0,0.0,1668050647.108213
474889204.0,1828.0,1787.0,1447.966064453125,1.0,0.0,0.0,0.0,1668050647.208225
474989193.0,1828.0,1787.0,1447.7349853515625,1.0,0.0,0.0,0.0,1668050647.308214
475089245.0,1828.0,1787.0,1447.3873291015625,1.0,0.0,0.0,0.0,1668050647.408266
475189249.0,1828.0,1787.0,1446.988525390625,1.0,0.0,0.0,0.0,1668050647.50827
475289249.0,1828.0,1787.0,1446.540283203125,1.0,0.0,0.0,0.0,1668050647.60827
475389327.0,1828.0,1787.0,1446.1368408203125,1.0,0.0,0.0,0.0,1668050647.708348
475489377.0,1828.0,1787.0,1445.7457275390625,1.0,0.0,0.0,0.0,1668050647.808398
475589624.0,1828.0,1787.0,1445.5059814453125,1.0,0.0,0.0,0.0,1668050647.908645
475689268.0,1828.0,1787.0,1445.4747314453125,1.0,0.0,0.0,0.0,1668050648.008289
475789213.0,1828.0,1787.0,1445.32080078125,1.0,0.0,0.0,0.0,1668050648.108234
475889387.0,1828.0,1787.0,1445.00146484375,1.0,0.0,0.0,0.0,1668050648.2084079
475989156.0,1828.0,1787.0,1444.6146240234375,1.0,0.0,0.0,0.0,1668050648.308177
476089312.0,1828.0,1787.0,1444.317138671875,1.0,0.0,0.0,0.0,1668050648.408333
476189213.0,1828.0,1787.0,1443.9979248046875,1.0,0.0,0.0,0.0,1668050648.508234
476289391.0,1828.0,1787.0,1443.73486328125,1.0,0.0,0.0,0.0,1668050648.608412
476389107.0,1828.0,1787.0,1443.603759765625,1.0,0.0,0.0,0.0,1668050648.708128
476489422.0,1828.0,1787.0,1443.322021484375,1.0,0.0,0.0,0.0,1668050648.808443
476589180.0,1828.0,1787.0,1443.0335693359375,1.0,0.0,0.0,0.0,1668050648.908201
476689304.0,1828.0,1787.0,1442.877685546875,1.0,0.0,0.0,0.0,1668050649.008325
476789195.0,1828.0,1787.0,1442.896728515625,1.0,0.0,0.0,0.0,1668050649.108216
476889191.0,1828.0,1787.0,1442.9771728515625,1.0,0.0,0.0,0.0,1668050649.208212
476989079.0,1828.0,1787.0,1443.03955078125,1.0,0.0,0.0,0.0,1668050649.3081
477089282.0,1828.0,1787.0,1443.2237548828125,1.0,0.0,0.0,0.0,1668050649.408303
477189225.0,1828.0,1787.0,1443.5106201171875,1.0,0.0,0.0,0.0,1668050649.508246
477289105.0,1828.0,1787.0,1443.7421875,1.0,0.0,0.0,0.0,1668050649.608126
477389351.0,1828.0,1787.0,1444.16748046875,1.0,0.0,0.0,0.0,1668050649.7083719
477489344.0,1828.0,1787.0,1444.8426513671875,1.0,0.0,0.0,0.0,1668050649.8083649
477589225.0,1828.0,1787.0,1445.6824951171875,1.0,0.0,0.0,0.0,1668050649.908246
477689244.0,1828.0,1787.0,1446.542724609375,1.0,0.0,0.0,0.0,1668050650.008265
477789210.0,1828.0,1787.0,1447.2835693359375,1.0,0.0,0.0,0.0,1668050650.108231
477889289.0,1828.0,1787.0,1448.0943603515625,1.0,0.0,0.0,0.0,1668050650.20831
477989337.0,1828.0,1787.0,1448.8026123046875,1.0,0.0,0.0,0.0,1668050650.308358
478089280.0,1828.0,1787.0,1449.2724609375,1.0,0.0,0.0,0.0,1668050650.4083009
478189240.0,1828.0,1787.0,1449.6041259765625,1.0,0.0,0.0,0.0,1668050650.508261
478289323.0,1828.0,1787.0,1449.7708740234375,1.0,0.0,0.0,0.0,1668050650.608344
478389322.0,1828.0,1787.0,1449.87060546875,1.0,0.0,0.0,0.0,1668050650.708343
478489253.0,1828.0,1787.0,1449.7352294921875,1.0,0.0,0.0,0.0,1668050650.808274
478589233.0,1828.0,1787.0,1449.341064453125,1.0,0.0,0.0,0.0,1668050650.908254
478689307.0,1828.0,1787.0,1448.8199462890625,1.0,0.0,0.0,0.0,1668050651.008328
478789217.0,1828.0,1787.0,1448.22216796875,1.0,0.0,0.0,0.0,1668050651.108238
478889226.0,1828.0,1787.0,1447.7666015625,1.0,0.0,0.0,0.0,1668050651.208247
478989189.0,1828.0,1787.0,1447.3406982421875,1.0,0.0,0.0,0.0,1668050651.30821
479089376.0,1828.0,1787.0,1447.0361328125,1.0,0.0,0.0,0.0,1668050651.408397
